User_ID,Age,Gender,Location,Income_Level,Preferred_Categories,Budget_Range,Brand_Preference,Frequency_of_Purchase,Discount_Sensitivity,Past_Purchases,Wishlist,Engagement_Score,Satisfaction_Rating,Ratings
1,49,Female,Visakhapatnam,High,"Electronics, Stationery, Home Essentials",7419-17923,LG,8,Low,"Laptop, Smartphone, TV","Smartphone Accessories, Camera",10,3.9,"[2, 5, 5, 1]"
2,36,Other,Surat,Low,"Fashion, Grocery, Home Essentials",3206-11265,LG,10,Low,"Smartphone, TV, Headphones","Smartphone Accessories, Smartwatch",10,3.7,"[4, 5, 4, 5]"
3,57,Male,Visakhapatnam,Low,"Home Essentials, Electronics, Grocery",8906-17630,Sony,10,Low,"TV, Fridge, Laptop","Smartphone Accessories, Camera",4,4.0,"[2, 2, 1, 2]"
4,48,Male,Nagpur,Medium,"Fashion, Stationery, Home Essentials",4939-11937,Samsung,6,High,"Fridge, Smartphone, Headphones","Smartwatch, Camera",1,4.8,"[2, 1, 3, 3]"
5,41,Female,Surat,High,"Electronics, Grocery, Fashion",8143-13802,Sony,5,Low,"Fridge, Laptop, Smartphone","Camera, Smartphone Accessories",3,3.7,"[1, 4, 5, 4]"
6,18,Other,Bangalore,High,"Stationery, Electronics, Fashion",4608-16315,Apple,1,High,"Headphones, Fridge, Smartphone","Smartphone Accessories, Smartwatch",9,3.4,"[2, 1, 5, 4]"
7,32,Male,Bangalore,High,"Home Essentials, Grocery, Electronics",7305-14218,LG,1,Medium,"Smartphone, Headphones, Fridge","Camera, Smartphone Accessories",3,3.9,"[2, 3, 5, 5]"
8,30,Male,Nagpur,Low,"Stationery, Electronics, Grocery",6318-11584,LG,6,Medium,"Laptop, Smartphone, Headphones","Camera, Smartwatch",4,4.6,"[5, 3, 2, 2]"
9,33,Male,Surat,Medium,"Electronics, Home Essentials, Grocery",7724-18445,None,4,Medium,"Smartphone, Laptop, Headphones","Camera, Smartwatch",2,4.5,"[2, 3, 2, 2]"
10,26,Other,Surat,Medium,"Fashion, Grocery, Stationery",6523-19211,Apple,8,Medium,"Smartphone, TV, Laptop","Smartphone Accessories, Camera",7,4.8,"[5, 3, 3, 3]"
11,48,Male,Visakhapatnam,Medium,"Stationery, Fashion, Home Essentials",9350-17981,Samsung,5,Low,"Laptop, Headphones, TV","Smartwatch, Camera",1,3.8,"[5, 1, 2, 2]"
12,34,Female,Surat,Medium,"Home Essentials, Electronics, Fashion",2193-14337,LG,1,Medium,"Smartphone, Headphones, TV","Camera, Smartphone Accessories",1,4.0,"[3, 4, 4, 3]"
13,49,Female,Bangalore,High,"Fashion, Home Essentials, Stationery",4629-17870,Apple,6,Medium,"Fridge, Laptop, Smartphone","Camera, Smartwatch",3,4.1,"[3, 5, 1, 1]"
14,43,Female,Nagpur,Low,"Grocery, Stationery, Fashion",4748-19341,Samsung,7,Low,"Smartphone, Headphones, Fridge","Smartwatch, Smartphone Accessories",6,4.7,"[1, 2, 5, 3]"
15,51,Female,Nagpur,High,"Home Essentials, Stationery, Grocery",1315-16052,LG,9,Medium,"Laptop, Headphones, Smartphone","Camera, Smartwatch",7,4.7,"[3, 4, 3, 5]"
16,18,Other,Visakhapatnam,High,"Grocery, Home Essentials, Electronics",2043-17658,None,2,Low,"Headphones, Fridge, Smartphone","Camera, Smartwatch",8,4.1,"[3, 3, 2, 2]"
17,41,Male,Surat,Low,"Grocery, Home Essentials, Stationery",6231-18222,LG,6,Low,"Fridge, Smartphone, Headphones","Smartwatch, Camera",6,4.3,"[1, 4, 5, 5]"
18,55,Other,Surat,Low,"Fashion, Home Essentials, Grocery",9845-14350,LG,8,Low,"Headphones, Smartphone, Fridge","Smartphone Accessories, Camera",4,3.8,"[1, 1, 3, 4]"
