User_ID,Unnamed: 0,camera,electronics,fashion,fridge,grocery,headphones,home_essentials,laptop,smartphone,smartphone_accessories,smartwatch,stationery,tv
0,0,1,1,0,0,0,0,1,1,1,1,0,1,1
1,1,0,0,1,0,1,1,1,0,1,1,1,0,1
2,2,1,1,0,1,1,0,1,1,0,1,0,0,1
3,3,1,0,1,1,0,1,1,0,1,0,1,1,0
4,4,1,1,1,1,1,0,0,1,1,1,0,0,0
5,5,0,1,1,1,0,1,0,0,1,1,1,1,0
6,6,1,1,0,1,1,1,1,0,1,1,0,0,0
7,7,1,1,0,0,1,1,0,1,1,0,1,1,0
8,8,1,1,0,0,1,1,1,1,1,0,1,0,0
9,9,1,0,1,0,1,0,0,1,1,1,0,1,1
10,10,1,0,1,0,0,1,1,1,0,0,1,1,1
11,11,1,1,1,0,0,1,1,0,1,1,0,0,1
12,12,1,0,1,1,0,0,1,1,1,0,1,1,0
13,13,0,0,1,1,1,1,0,0,1,1,1,1,0
14,14,1,0,0,0,1,1,1,1,1,0,1,1,0
15,15,1,1,0,1,1,1,1,0,1,0,1,0,0
16,16,1,0,0,1,1,1,1,0,1,0,1,1,0
17,17,1,0,1,1,1,1,1,0,1,1,0,0,0
18,18,1,1,0,1,0,1,1,0,1,0,1,1,0
19,19,0,1,0,1,0,0,1,1,1,1,1,1,0
20,20,1,0,1,1,1,1,0,0,0,1,0,1,1
21,21,1,0,1,1,1,1,0,0,1,0,1,1,0
22,22,0,0,1,1,0,1,1,1,0,1,1,1,0
23,23,0,1,1,0,0,0,0,1,1,1,1,1,1
24,24,1,0,1,0,0,1,1,0,1,1,0,1,1
25,25,1,1,0,1,0,0,1,1,0,0,1,1,1
26,26,0,1,1,0,0,1,1,0,1,1,1,0,1
27,27,1,0,1,0,1,1,1,1,0,0,1,0,1
28,28,1,1,1,1,0,0,0,1,0,0,1,1,1
29,29,1,0,1,0,0,1,1,1,0,1,0,1,1
30,30,1,1,1,0,0,0,0,1,1,1,0,1,1
31,31,0,1,1,0,1,1,0,0,1,1,1,0,1
32,32,1,1,0,1,1,1,1,0,1,1,0,0,0
33,33,0,1,1,1,0,0,1,1,1,1,1,0,0
34,34,1,1,0,0,0,0,1,1,1,1,0,1,1
35,35,0,1,0,0,1,1,0,1,1,1,1,1,0
36,36,1,0,1,0,0,0,1,1,1,0,1,1,1
37,37,1,0,0,0,1,0,1,1,1,1,0,1,1
38,38,1,1,0,1,1,0,1,1,0,1,0,0,1
39,39,1,1,1,1,0,1,1,1,0,1,0,0,0
40,40,1,1,1,1,0,0,0,1,0,0,1,1,1
41,41,1,1,1,1,1,1,0,0,0,1,0,0,1
42,42,1,1,1,1,0,1,0,1,0,0,1,1,0
43,43,1,1,1,0,0,0,1,1,1,0,1,0,1
44,44,0,1,1,0,1,1,0,0,1,1,1,0,1
45,45,1,1,1,0,0,1,0,0,1,1,0,1,1
46,46,1,1,0,1,0,0,1,0,1,0,1,1,1
47,47,1,1,0,1,1,1,0,0,1,1,0,1,0
48,48,0,1,0,1,1,1,0,0,1,1,1,1,0
49,49,0,0,1,1,0,0,1,1,1,1,1,1,0
50,50,1,1,0,1,0,1,1,0,0,0,1,1,1
51,51,1,1,1,1,0,0,0,0,1,1,0,1,1
52,52,1,1,1,1,0,1,0,1,0,1,0,1,0
53,53,1,1,1,1,0,1,1,1,0,0,1,0,0
54,54,0,1,0,0,1,0,1,1,1,1,1,0,1
55,55,1,1,0,1,0,0,1,1,1,1,0,1,0
56,56,1,1,1,1,0,1,1,0,1,1,0,0,0
57,57,1,1,0,1,1,1,1,1,0,0,1,0,0
58,58,0,0,1,0,0,1,1,1,1,1,1,1,0
59,59,1,1,1,1,0,0,1,0,1,1,0,0,1
60,60,0,0,1,1,0,0,1,1,0,1,1,1,1
61,61,0,1,1,0,0,1,0,1,1,1,1,1,0
62,62,0,0,1,1,1,1,1,0,0,1,1,0,1
63,63,1,0,1,1,1,0,0,1,1,0,1,1,0
64,64,1,0,1,1,0,0,1,1,1,1,0,1,0
65,65,1,0,1,1,1,1,0,1,0,1,0,1,0
66,66,1,0,1,1,1,0,1,1,1,1,0,0,0
67,67,1,1,1,1,1,0,0,0,1,0,1,0,1
68,68,1,1,1,1,0,0,0,1,0,0,1,1,1
69,69,0,1,1,1,0,0,0,1,1,1,1,1,0
70,70,0,0,0,0,1,1,1,1,0,1,1,1,1
71,71,1,0,0,1,1,1,1,0,1,1,0,1,0
72,72,1,1,0,1,1,0,1,1,1,1,0,0,0
73,73,1,0,1,0,1,0,1,1,1,0,1,0,1
74,74,1,1,1,1,0,1,0,0,1,0,1,1,0
75,75,1,1,1,1,0,1,0,1,0,0,1,1,0
76,76,0,1,0,1,1,0,0,0,1,1,1,1,1
77,77,1,1,1,1,0,0,1,1,0,1,0,0,1
78,78,1,0,1,1,1,0,0,1,0,0,1,1,1
79,79,1,0,1,0,1,1,0,1,1,0,1,1,0
80,80,1,1,0,1,1,1,0,0,1,0,1,1,0
81,81,0,1,0,1,0,1,1,1,0,1,1,1,0
82,82,1,1,1,1,1,1,0,0,1,1,0,0,0
83,83,1,0,1,0,0,1,1,1,1,0,1,1,0
84,84,0,1,1,0,1,0,0,1,1,1,1,0,1
85,85,1,0,0,1,1,0,1,1,0,0,1,1,1
86,86,1,1,1,0,1,1,0,0,1,0,1,0,1
87,87,1,0,0,1,1,0,1,0,1,0,1,1,1
88,88,1,0,1,1,0,0,1,1,0,1,0,1,1
89,89,0,1,0,1,1,0,1,0,1,1,1,0,1
90,90,1,1,0,1,1,0,1,1,1,0,1,0,0
